Espécie	Nome Popular	Sinonímia	Família	Bioma	Formação Vegetal	Fitofisionomias	Presença nos estados	Período de coleta de sementes	Beneficiamento de sementes	Porcentagem de germinação	Substrato da muda	Desenvolvimento da muda no viveiro	Número de sementes/kg	Armazenamento	Semeadura	Nível de sombreamento da muda no viveiro	Tolerância a Sombra	Estratégia ecológica de ocupação	Desenvolvimento da muda no campo	Recomendação de adubação no plantio no campo	Porte da planta	Período de floração	Período de frutificação	Uso Econômico	Caducifolia	Polinização	Dispersão
Trembleya parviflora(D.Don) Cogn	Trembleya		Melastomataceae	Cerrado	Campestre, Florestal, Savânica	Campo Rupestre, Campo Sujo, Mata Ciliar, Mata de Galeria, Palmeiral, Vereda	BA, DF, ES, GO, MG, PR, RJ, SP	Cerrado - fev-out	Colher os frutos diretamente da arvoreta quando iniciarem a abertura espontânea. Em seguida, deixá-los ao sol para completarem sua abertura e a liberação das minúsculas sementes.	50 a 80% (boa)	"


T4 Floresta (MDF = MAL DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)		Tempo indeterminado em câmara fria.	Indireta em sementeira	Pleno Sol	NÃO (Pioneira típica)	Recobrimento	Rápido (entre 30 e 100 cm/ano)	P4=> MDF: espécies de zonas ripárias (Ex.: Protium heptaphyllum, Mauritia flexuosa)	Arvoreta (≤  3 metros)	Cerrado - fev-out	Cerrado - fev-out		NÃO	Abelhas	Autocoria
Trichanthecium cyanescens(Nees ex Trin.) Zuloaga & Morrone	Capim-ciano	Panicum cyanescens Nees ex Trin., Panicum carannasense Mez, Panicum rectissimum Mez, Panicum savannarum Soderstr., Panicum vinnulum Swallen	Poaceae	Cerrado	Campestre, Florestal	Campo Limpo, Campo Rupestre, Mata Ciliar, Mata de Galeria	AM, AP, BA, DF, GO, MG, MS, MT, PA, PE, PR, RJ, RN, RO, RR, RS, SC, SE, SP, TO	Cerrado - mar-jun	Coleta dos pendões com foice de mão. Observar que as sementes devem estar dispersando (soltando naturalmente dos pendões). Os pendões são passados em máquina trituradora de palha (ensiladeira) para desagregação das sementes.	< 10% (ruim)	"




																
								[Saiba mais]
								
								



"				Indireta em sementeira						Erva	Cerrado - fev	Cerrado - mar-jun		NÃO	Vento	Autocoria
Trichilia catiguaA.Juss.	Pombeiro, Veludo, Catiguá, Catiguá-guaçu, Cataguá, Angelim-rosa, Cedrinho, Mangaltô-catinga	Moschoxylum affine A. Juss., Moschoxylum catigua A. Juss., Trichilia affins A. Juss., Trichilia alba Rojas Acosta, Trichilia catigua var. affinis (A. Juss.) C. DC., Trichilia catigua var. glabrior C. DC., Trichilia catigua var. longifoliola C. DC., Trichilia catigua var. pallens C. DC., Trichilia catigua var. parviflora A. Juss., Trichilia catigua var. pilosior C. DC., Trichilia flaviflora C. DC., Trichilia polyclada C. DC.	Meliaceae	Pantanal	Florestal	Mata Ripária, Mata Seca (decídua), Mata Semidecídua	AC, BA, DF, ES, GO, MG, MS, MT, PR, RJ, RS, SC, SP	Pantanal -  fev-mar	Os frutos devem ser colhidos diretamente da árvore quando iniciarem a abertura espontânea, cortando-se os ramos frutiferos e deixando os frutos secarem à sombra para completar a abetura e a liberação das sementes (Lorenzi, 2009).	10 a 19% (baixa)	"


T4 Floresta (MDF = MAL DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"		7800	Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.	Indireta em sementeira	50%	SIM (Tolerante em todo o ciclo de vida)	Diversidade		P4=> MDF: espécies de zonas ripárias (Ex.: Protium heptaphyllum, Mauritia flexuosa)	Árvore (> 3 metros)	Pantanal -  jan até fev (Pott & Pott, 1994)	Pantanal -  fev até mar (Pott & Pott, 1994)	Fibra, Madeireiro, Melífero, Ornamental, Tintorial	NÃO	Pequenos insetos	Zoocoria (fauna)
Trichilia elegansA.Juss.	Cachuá	Moschoxylum elegans (A. Juss.) A. Juss., Moschoxylum viride Rusby, Odontandra elegans (A. Juss.) Triana & Planch., Odontosiphon elegans M.J. Roemer, Trichilia alba C. DC., Trichilia graciliflora Harms, Trichilia guayaquilensis C. DC., Trichilia hassleri C.DC., Trichilia hirsuta C.DC., Trichilia subarborescens C. DC., Trichilia validinervia Harms, Trichilia warmingii C.DC., Trichilia weberbaueri C. DC.	Meliaceae	Pantanal	Florestal, Savânica	Chaco, Mata Ripária, Mata Semidecídua	AC, BA, CE, DF, ES, GO, MA, MG, MS, MT, PA, PR, RJ, RS, SC, SP	Pantanal -  jan-mar	Os frutos devem ser colhidos diretamente da árvore quando iniciarem a abertura espontânea, cortando-se os ramos frutiferos e deixando os frutos secarem à sombra para completar a abetura e a liberação das sementes.		"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"			Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.	Indireta em sementeira	50%	SIM (Tolerante em todo o ciclo de vida)	Diversidade			Árvore (> 3 metros)	Pantanal -  out a dez (Pott & Pott, 1994)	Pantanal -  jan a mar (Pott & Pott, 1994)	Artesanal, Forrageiro, Madeireiro, Medicinal, Melífero, Tintorial, Toxico Para Animais	NÃO	Mariposas	Zoocoria (fauna)
Trichilia pallidaSw.	Catiguá	Trichilia brachystachya Klotzsch ex DC., Trichilia excelsa Benth., Trichilia macrophylla Benth., Trichilia montana (Kunth) Juss., Trichilia trinitensis A.Juss., Trichilia weddellii C.DC.	Meliaceae	Amazônia	Florestal, Savânica	Mata Ciliar, Savana	AC, AM, BA, DF, ES, GO, MG, MS, MT, PA, PR, RJ, RO, RR, SP	jun-set	Colher os frutos diretamente da árvore quando iniciarem a abertura espontânea, o que é facilmente notado pela exposição do arilo vermelho que envolve as sementes. Em seguida levá-los ao sol para completar a abertura e liberação das sementes. Não é necessário remover o arilo que envolve as sementes antes de semear, apenas deixar secar um pouco.	50 a 80% (boa)	"


3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviário

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	14000	Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.	Direta em recipientes individuais	50%	SIM (Tolerante em todo o ciclo de vida)	Diversidade	Rápido (entre 30 e 100 cm/ano)	**Amazônia S01	Árvore (> 3 metros)	mai; set-nov	jun-set		NÃO	Abelhas, mariposas	Zoocoria (fauna)
Trifolium polymorphumPoir.			Fabaceae	Pampa	Campestre	Campo Seco, Campo Úmido	PR, RS	dez-abr			"




																
								[Saiba mais]
								
								



"										Liana		nov-dez	Forrageiro			
Triplaris americanaL.	Pau-formiga, Pau-de-novato, Novateiro-de-mato-grosso, Formigueiro, Novateiro, Pau-de-formiga	Triplaris boliviana Rusby, Triplaris laxa Blake, Triplaris pavonii Meisn., Triplaris schomburgkiana Benth.	Polygonaceae	Cerrado, Pantanal	Campestre, Florestal	Campo Inundável, Mata Ripária, Mata Semidecídua, Mata de Galeria	AC, AM, GO, MS, MT, PA, PR, SP	Cerrado - nov-jan ; Pantanal -  Fruto alado vermelho set a out	Colher os frutos diretamente da árvore quando iniciarem a queda espontânea. Os frutos assim obtidos podem ser diretamente utilizados para a semeadura, não havendo necessidade de separar as sementes. Entretanto caso deseja-se reduzir o volume para efeito de remessa ou armazenamento pode-se deixá-los ao sol para secar e facilitar a retirada manual das sépalas e pericarpo. Colocar as sementes ou frutos para germinação.	50 a 80% (boa)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	17600	Tempo indeterminado em câmara fria.	Direta em recipientes individuais	50%	SIM (Tolerante em todo o ciclo de vida)	Recobrimento	Rápido (entre 30 e 100 cm/ano)	P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Árvore (> 3 metros)	Cerrado - ago-out ; Pantanal -  ago a set (Pott & Pott, 1994)	Cerrado - nov-jan ; Pantanal -  Fruto alado vermelho set a out (Pott & Pott, 1994)	Artesanal, Ornamental	NÃO	Vento	Anemocoria (vento)
Triplaris gardnerianaWedd.	Novateiro, Pau-de-novato, Novato, Formigueiro, Louvateiro, Novateiro-preto, Pau-jaú, Pajaú	Triplaris pachau Mart.	Polygonaceae	Cerrado, Pantanal	Florestal, Savânica	Cerradão, Chaco, Mata Ciliar, Mata Ripária, Mata Seca, Mata Seca (decídua), Mata Semidecídua, Mata de Galeria	AL, BA, CE, DF, GO, MA, MG, MS, MT, PB, PE, PI	Cerrado - ago-out  ; Pantanal -  set-out	Colher os frutos diretamente da árvore quando iniciarem a queda espontânea. Os frutos assim obtidos podem ser diretamente utilizados para a semeadura, não havendo necessidade de separar as sementes. Entretanto caso deseja-se reduzir o volume para efeito de remessa ou armazenamento pode-se deixá-los ao sol para secar e facilitar a retirada manual das sépalas e pericarpo. Colocar as sementes ou frutos para germinação.	50 a 80% (boa)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	17000	Tempo indeterminado em câmara fria.	Direta em recipientes individuais	50%	SIM (Tolerante em todo o ciclo de vida)	Recobrimento	Muito Rápido ( > 100 cm/ano)	P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Árvore (> 3 metros)	Cerrado - jul-ago ; Pantanal -  jul até ago (Pott & Pott, 1994)	Cerrado - ago ; Pantanal -  ago até out (Pott & Pott, 1994)	Artesanal, Madeireiro, Medicinal, Melífero, Ornamental	SIM	Vento	Anemocoria (vento)
Tristachya leiostachyaNess	Aveia-do-cerrado		Poaceae	Cerrado	Campestre	Campo Rupestre, Campo Sujo	BA, DF, GO, MG, MS, MT, PR, SP	Cerrado - dez-jul	Coleta dos pendões com foice de mão. Observar que as sementes devem estar dispersando (soltando naturalmente dos pendões). Os pendões são passados em máquina trituradora de palha (ensiladeira) para desagregação das sementes.	10 a 19% (baixa)	"




																
								[Saiba mais]
								
								



"				Indireta em sementeira						Erva	Cerrado - nov-jun	Cerrado - dez-jul		NÃO	Vento	Epizoocoria
Uncaria guianensis(Aubl.) J.F.Gmel.	Unha-de-gato	Ourouparia guianensis Aubl., Uncaria aculeata Willd., Uncaria spinosa Raeusch., Uruparia versicolor Raf., Nauclea guianensis (Aubl.) Poir.	Rubiaceae	Amazônia	Florestal	Mata Ciliar, Mata de Várzea, Terra Firme	AC, MS, MT	jul-out	Colher os frutos diretamente na planta quando iniciarem a secagem. Em seguida deixá-los em local arejado para completar a abertura e liberação das sementes.		"


3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviário

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)		Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.	Indireta em sementeira	Pleno Sol	INDIFERENTE (Tolerante no início do ciclo)	Recobrimento	Rápido (entre 30 e 100 cm/ano)	**Amazônia S01	Liana	mar-jun	jul-out		NÃO	Mariposas	Anemocoria (vento)
Urochloa decumbens(Stapf) R.D.Webster	Braquiaria	Brachiaria decumbens Stapf	Poaceae	Pantanal	Campestre	Campo não Inundável	AL, BA, CE, DF, ES, GO, MG, MS, MT, PA, PB, PE, PI, PR, RN, RO, RR, RS, SC, SE, SP, TO				"




																
								[Saiba mais]
								
								



"			Tempo indeterminado em câmara fria.	Indireta em sementeira		NÃO (Pioneira típica)	Recobrimento			Erva			Forrageiro	NÃO	Vento, abelhas	Zoocoria (Fauna)
Urochloa humidicola(Rendle) Morrone & Zuloaga	Umidicola	Brachiaria humidicola (Rendle) Schweick.	Poaceae	Pantanal	Campestre	Campo não Inundável	AM, BA, DF, GO, MA, MG, MS, PA, SC, SP		As sementes que encontram-se na superfície do solo podem ser recolhidas manualmente e passadas em peneiras para a pré-limpeza no campo, e a realização da abanação (tecnica de limpeza).	10 a 19% (baixa)	"




																
								[Saiba mais]
								
								



"				Indireta em sementeira		NÃO (Pioneira típica)	Recobrimento			Erva			Forrageiro	NÃO	Vento, abelhas	Zoocoria (Fauna)
Vachellia caven(Molina) Seigler & Ebinger	Espinilho	Mimosa caven Molina, Acacia caven (Molina) Molina	Fabaceae	Pampa	Savânica	Vegetaçao Savanóide	MS, RS		colher os frutos diretamente da árvore quando iniciarem a abertura espontânea. Deixar no sol para completar a abertura e facilitar a retirada das sementes.		"




																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	14500				NÃO (Pioneira típica)	Recobrimento			Árvore (> 3 metros)			Latex, Medicinal, Oleaginoso	SIM	abelhas e diversos insetos pequenos	Autocoria
Vachellia farnesiana(L.) Wight & Arn.	Acácia, Aromatica, Espinheiro, Esponjinha, Esponja, Arapicara, Vinhático-de-espinho, Corona-cristi	Mimosa farnesiana L., Acacia farnesiana (L.) Willd.	Fabaceae	Cerrado	Florestal	Mata Seca	AM, BA, CE, DF, GO, MA, MG, MS, PA, PB, PE, PR, RN	Cerrado - ago-set	Colher os frutos (vagens) diretamente das plantas quando adquirirem coloração marrom ecura e iniciarem a queda espontânea. Em seguida deixá-los ao sol por alguns dias para facilitar sua abertura manual para a retirada das sementes.	20 a 49% (regular)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"		11500	Tempo indeterminado em câmara fria.	Direta em recipientes individuais	Pleno Sol	NÃO (Pioneira típica)	Recobrimento		P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Árvore (> 3 metros)	Cerrado - jun-set	Cerrado - out-jan		SIM	Abelhas	Zoocoria (fauna)
Vatairea guianensisAubl.	Fava-bolacha, Angelim-do-igapó, Fava-de-impigem, Faveira-do-igapó, Guáboa, Marupa-del-bajo	Vatairea surinamensis Kleinhoonte	Fabaceae	Amazônia	Florestal	Mata de Várzea, Terra Firme	AM, AP, MT, PA, RO	mai-jun	Colher os frutos diretamente na árvore quando iniarem a abertura expontânea. Deixar no sol para completar a abertura e liberação das sementes.		"


3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviário

																
								[Saiba mais]
								
								



"					50%	INDIFERENTE (Tolerante no início do ciclo)	Diversidade		**Amazônia S01	Árvore (> 3 metros)	fev-jun	mar-jun	Madeireiro, Medicinal	SIM	abelhas	Anemocoria (vento)
Vatairea macrocarpa(Benth.) Ducke	Angelim, Amargoso	Machaerium macrocarpum Benth., Tipuana amazonica Ducke	Fabaceae	Cerrado, Pantanal	Florestal, Savânica	Cerrado Rupestre, Cerrado Típico, Cerradão, Mata Semidecídua	AM, BA, CE, DF, GO, MA, MG, MS, MT, PA, PB, PE, PI, RO, SP, TO	Cerrado - nov-jan ; Pantanal -  nov	Colher os frutos diretamente da árvore quando iniciarem a queda espontânea. Os frutos assim obtidos podem ser diretamente usados para semeadura.	50 a 80% (boa)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Lento (até 30 cm/ano)	700	Tempo indeterminado em câmara fria.	Direta em recipientes individuais	Pleno Sol	SIM (Tolerante em todo o ciclo de vida)	Diversidade	Lento (até 30 cm/ano)	P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Árvore (> 3 metros)	Cerrado - ago-set ; Pantanal -  ago (Pott & Pott, 1994)	Cerrado - set-nov ; Pantanal -  nov (Pott & Pott, 1994)	Forrageiro, Madeireiro, Medicinal, Melífero, Ornamental	SIM	Abelhas	Anemocoria (vento)
Vatairea paraensisDucke	Amargoso, Angelim, Angelim-amarelo, Angelim-amargoso, Angelim-mandioqueiro, Fava-amarela, Fava-amargosa, Faveira, Faveira-amargosa, Faveira-amarela, , Faveira-bolacha, Sapupira-amarela. 		Fabaceae	Amazônia	Florestal	Terra Firme	AM, PA	jan-fev	Colher os frutos diretamente da árvore quando iniciarem processo de secagem. Em seguida deixá-los em local arejado para completarem a secagem. Remover manualmente o aparato de voo.		"


3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviário

																
								[Saiba mais]
								
								



"			Tempo indeterminado em câmara fria.	Indireta em sementeira	50%		Diversidade		**Amazônia S01	Árvore (> 3 metros)	set-nov	dez-fev	Madeireiro	NÃO	Abelhas	Anemocoria (vento)
Vataireopsis speciosaDucke	Angelim-amargoso		Fabaceae	Amazônia	Florestal	Terra Firme	AM, MT, PA, RO	ago-set	Colher os frutos diretamente na árvore quando estiverem secos. Remover os aparatos de voo antes de semear para diminuir o volume no recipiente.		"


3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviário

																
								[Saiba mais]
								
								



"				Indireta em sementeira	50%	NÃO (Pioneira típica)	Recobrimento		**Amazônia S01	Árvore (> 3 metros)	jul-set	ago-set	Madeireiro, Medicinal	SIM	Abelhas	Anemocoria (vento)
Vellozia dasypusSeub.	Canela-de-ema¹	Vellozia harleyi	Velloziaceae	Caatinga	Campestre, Florestal	Formações Rochosas, Mata Brejo de Altitude	BA, SE	nov - abr	Coletar diretamente na planta quando atingirem coloração marron (maduro) e iniciar abertura espontanea dos frutos.		"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Lento (até 30 cm/ano)			Direta em recipientes individuais	75%	NÃO (Pioneira típica)	Diversidade	Lento (até 30 cm/ano)	P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Subarbusto	out - mar	nov - abr	Fibra, Ornamental	SIM	Abelhas	Anemocoria (vento)
Vellozia epidendroidesMart. ex Schult. & Schult.f.	Canela-de-ema	Vellozia gracilis Seub.	Velloziaceae	Cerrado	Campestre	Campo Rupestre	MG	Cerrado - abr-jun	Colheita e abertura manual dos frutos. Observar que os frutos devem estar secos e ainda fechados, ou começando a abrir ainda com sementes dentro.	> 80% (ótima)	"




																
								[Saiba mais]
								
								



"				Indireta em sementeira						Subarbusto	Cerrado - nov-mar	Cerrado - abr-jun		NÃO	Abelhas, vespas	Autocoria
Vellozia squamataPohl	Canela-de-ema	Vellozia flavicans Mart. ex Schult. & Schult.f.	Velloziaceae	Cerrado	Campestre, Savânica	Campo Rupestre, Campo Sujo, Cerrado Rupestre, Cerrado Típico, Parque de Cerrado	BA, DF, GO, MG, MT	Cerrado - jun-out	Colher os frutos diretamente na planta quando começarem a abertura natural. Levar ao sol para secar e completar a abertura para liberação das sementes.	50 a 80% (boa)	"


T2 Cerrado (SDPF = SUPER DRENADO POUCO FÉRTIL)

																
								[Saiba mais]
								
								



"	Lento (até 30 cm/ano)		Tempo indeterminado em câmara fria.	Indireta em sementeira	Pleno Sol	NÃO (Pioneira típica)	Diversidade	Lento (até 30 cm/ano)	P1=> SDPF: espécies de Cerrado.	Erva	Cerrado - mar-jun	Cerrado - jun-out		NÃO	Abelhas, vespas	Autocoria
Vigna luteola(Jacq.) Benth.			Fabaceae	Pampa	Campestre	Banhado	AM, BA, DF, MT, PA, PI, PR, RJ, RO, RS, SC, SP				"




																
								[Saiba mais]
								
								



"										Liana						
Virola micheliiHeckel	Ucuúba-da-terra-firme	Virola melinonii Benoist	Myristicaceae	Amazônia	Florestal	Terra Firme	AM, AP, MA, MT, PA, RO, RR	nov-jan	Colher os frutos diretamente da árvore quando iniciarem a abertura espontânea. Em seguida leva-los ao sol para completarem sua abertura e liberação da semente. Não é necessário remover o arilo que envolve a semente, apenas deixar secar um pouco antes de semear.	> 80% (ótima)	"


3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviário

																
								[Saiba mais]
								
								



"		586	Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.	Direta em recipientes individuais	50%		Diversidade		**Amazônia S01	Árvore (> 3 metros)	jun-ago	set-jan		NÃO	Abelhas	Zoocoria (Fauna)
